ID,Review,Category,Sentiment Score
55,"Some parts sort of worked, but the whole thing never came together. Pacing was uneven, drifting between engaging and tedious. With a serious overhaul, it might actually be good someday. I might give it another chance, but only out of boredom. In the end, it left a clearer impression than I expected.",Movie,2
56,"I went in curious and a little skeptical. Solidly average, the kind of thing you forget about in a week. Little bits of personality showed up when it stopped trying to impress. It will probably stick in my memory for a while.",Theatre Production,3
57,"I picked this mostly on a whim, no planning at all. There was an almost impressive level of disappointment in every detail. By the end, I was more annoyed than entertained. It will probably stick in my memory for a while.",Restaurant,1
58,"It exceeded my expectations and left me grinning like an idiot. Some choices felt bold, others felt like default settings. There was an ease and confidence to the whole experience. Once it was over, I needed a minute just to process how I felt.",Movie,5
59,"I stumbled into this on a random day. I genuinely enjoyed it more than I expected to. If this is the standard, I would happily stick around for more. It will probably stick in my memory for a while.",TV Show,4
60,"My expectations were strangely specific, and not all of them were met. It landed emotionally, visually, and in all the little in-between moments. There were a few surprises that caught my attention. It will probably stick in my memory for a while.",TV Show,5
61,"It delivered a steady run of satisfying moments from start to finish. Timing felt off in places, like beats landing a second too late. It struck a nice balance between comfort and surprise. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Restaurant,4
62,"I did not hate it, but I also would not rush back to it. You can sense a clear vision, even if it is not fully realized. It worked well enough for a casual experience. Parts of it will probably age better than others.",Restaurant,3
63,"Someone recommended this to me, and I finally tried it. Most of the choices felt thoughtful and well considered. It felt crafted by people who actually cared about the experience. It quietly shifted my mood for the rest of the day.",TV Show,4
64,"I would comfortably recommend it to a friend without hesitation. It stayed safely in the middle, rarely pushing for anything daring. I would gladly revisit it just to catch things I missed the first time. It felt crafted by people who actually cared about the experience. I am still not sure whether it was brave or slightly unhinged.",Movie,4
65,"I came to it tired after a long day, which probably colored my mood. Some parts sort of worked, but the whole thing never came together. It felt like a first draft that accidentally got released. In the end, it left a clearer impression than I expected.",Movie,2
66,"I loved it so much that I kept thinking about it afterwards. Some choices felt bold, others felt like default settings. Tiny details kept revealing themselves the more I thought about it. Whether people love it or hate it, I doubt anyone will find it completely neutral.",TV Show,5
67,"My expectations were strangely specific, and not all of them were met. There was just enough charm to keep me from zoning out. I would not argue with someone who liked it more than I did. I would not argue with someone who liked it more than I did. In the end, it left a clearer impression than I expected.",Product,3
68,"The idea was interesting, but the execution felt half-finished. It stayed safely in the middle, rarely pushing for anything daring. Little bits of personality showed up when it stopped trying to impress. Tiny flashes of quality kept me from giving up on it completely. Even with its flaws, it gave me something to think about later.",TV Show,2
69,"It delivered a steady run of satisfying moments from start to finish. Pacing was uneven, drifting between engaging and tedious. I left feeling quietly pleased with the whole thing. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Theatre Production,4
70,"You can tell people tried, it just did not land properly. Pacing was uneven, drifting between engaging and tedious. Timing felt off in places, like beats landing a second too late. You can see the shell of something better hiding in there. I have a feeling it will spark oddly intense arguments among friends.",Restaurant,2
71,"There was just enough charm to keep me from zoning out. It had occasional flashes of something brilliant hiding underneath. I would not go out of my way to recommend it, but I would not warn people away either. It made me reconsider what I usually look for in this kind of thing.",Movie,3
72,"It landed emotionally, visually, and in all the little in-between moments. Timing felt off in places, like beats landing a second too late. It had occasional flashes of something brilliant hiding underneath. I caught myself replaying specific moments in my head afterwards. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Restaurant,5
73,"Most of the choices felt thoughtful and well considered. Pacing was uneven, drifting between engaging and tedious. It felt crafted by people who actually cared about the experience. It will probably stick in my memory for a while.",Movie,4
74,"I would happily come back to this again and again without getting bored. Pacing was uneven, drifting between engaging and tedious. Tiny details kept revealing themselves the more I thought about it. It made me reconsider what I usually look for in this kind of thing.",TV Show,5
75,I tried to keep an open mind going into it. It exceeded my expectations and left me grinning like an idiot. There was an ease and confidence to the whole experience. I am still not sure whether it was brave or slightly unhinged.,TV Show,5
76,"At first, I did not expect much from this. You can tell people tried, it just did not land properly. It felt like a first draft that accidentally got released. I am still not sure whether it was brave or slightly unhinged.",Product,2
77,"The idea was interesting, but the execution felt half-finished. Some choices felt bold, others felt like default settings. It felt like a first draft that accidentally got released. It made me reconsider what I usually look for in this kind of thing.",Movie,2
78,"I did not read any reviews beforehand, which might have helped. I would happily come back to this again and again without getting bored. Tiny details kept revealing themselves the more I thought about it. It is the kind of thing I immediately wanted to share with people I like. Even with its flaws, it gave me something to think about later.",TV Show,5
79,I went in curious and a little skeptical. It exceeded my expectations and left me grinning like an idiot. Tiny details kept revealing themselves the more I thought about it. Tiny details kept revealing themselves the more I thought about it. I am still not sure whether it was brave or slightly unhinged.,Theatre Production,5
80,"It had an overall polish that is hard to fake. It flirted with being memorable, without quite committing. Pacing was uneven, drifting between engaging and tedious. In the end, it left a clearer impression than I expected.",Movie,4
81,"Solidly average, the kind of thing you forget about in a week. Little bits of personality showed up when it stopped trying to impress. It stayed safely in the middle, rarely pushing for anything daring. I am still not sure whether it was brave or slightly unhinged.",Theatre Production,3
82,"I did not read any reviews beforehand, which might have helped. It felt sloppy, confused, and oddly loud about nothing. The most interesting part was wondering how it went this wrong. Parts of it will probably age better than others.",TV Show,1
83,"I did not hate it, but I also would not rush back to it. It had occasional flashes of something brilliant hiding underneath. Pacing was uneven, drifting between engaging and tedious. I would not go out of my way to recommend it, but I would not warn people away either. It quietly shifted my mood for the rest of the day.",Movie,3
84,"I came to it tired after a long day, which probably colored my mood. I regretted sitting through the whole thing. Little bits of personality showed up when it stopped trying to impress. The most interesting part was wondering how it went this wrong. Parts of it will probably age better than others.",Movie,1
85,I stumbled into this on a random day. Most of it was frustrating in a way that never paid off. The most interesting part was wondering how it went this wrong. It will probably stick in my memory for a while.,Product,1
86,"There was an almost impressive level of disappointment in every detail. Pacing was uneven, drifting between engaging and tedious. Pacing was uneven, drifting between engaging and tedious. It will probably stick in my memory for a while.",Product,1
87,I went in curious and a little skeptical. I left mildly underwhelmed and not eager to repeat the experience. Tiny flashes of quality kept me from giving up on it completely. Parts of it will probably age better than others.,Theatre Production,2
88,"I picked this mostly on a whim, no planning at all. I kept checking the time, hoping it would end earlier than it did. It had occasional flashes of something brilliant hiding underneath. I am still not sure whether it was brave or slightly unhinged.",Product,1
89,I regretted sitting through the whole thing. There were a few surprises that caught my attention. Little bits of personality showed up when it stopped trying to impress. I am still not sure whether it was brave or slightly unhinged.,Theatre Production,1
90,"I picked this mostly on a whim, no planning at all. The idea was interesting, but the execution felt half-finished. It flirted with being memorable, without quite committing. I am still not sure whether it was brave or slightly unhinged.",Movie,2
91,"Every small detail felt connected to something clever and satisfying. Timing felt off in places, like beats landing a second too late. It flirted with being memorable, without quite committing. It made me reconsider what I usually look for in this kind of thing.",TV Show,5
92,"I did not read any reviews beforehand, which might have helped. I did not hate it, but I also would not rush back to it. It flirted with being memorable, without quite committing. I have a feeling it will spark oddly intense arguments among friends.",TV Show,3
93,"I genuinely enjoyed it more than I expected to. Some choices felt bold, others felt like default settings. I left feeling quietly pleased with the whole thing. It felt crafted by people who actually cared about the experience. I am still not sure whether it was brave or slightly unhinged.",Theatre Production,4
94,"Every small detail felt connected to something clever and satisfying. Timing felt off in places, like beats landing a second too late. It is the kind of thing I immediately wanted to share with people I like. Tiny details kept revealing themselves the more I thought about it. It made me reconsider what I usually look for in this kind of thing.",Product,5
95,"It landed emotionally, visually, and in all the little in-between moments. Small details in the background ended up being more interesting than the main moments. It is the kind of thing I immediately wanted to share with people I like. Parts of it will probably age better than others.",Product,5
96,"It landed emotionally, visually, and in all the little in-between moments. It flirted with being memorable, without quite committing. It is the kind of thing I immediately wanted to share with people I like. Once it was over, I needed a minute just to process how I felt.",Movie,5
97,"I picked this mostly on a whim, no planning at all. It exceeded my expectations and left me grinning like an idiot. It flirted with being memorable, without quite committing. Even with its flaws, it gave me something to think about later.",Theatre Production,5
98,"Some parts sort of worked, but the whole thing never came together. Timing felt off in places, like beats landing a second too late. There were a few surprises that caught my attention. I might give it another chance, but only out of boredom. It quietly shifted my mood for the rest of the day.",Restaurant,2
99,"I had heard mixed things before trying it myself. It delivered a steady run of satisfying moments from start to finish. If this is the standard, I would happily stick around for more. I am still not sure whether it was brave or slightly unhinged.",Restaurant,4
100,"I stumbled into this on a random day. I regretted sitting through the whole thing. It flirted with being memorable, without quite committing. Parts of it will probably age better than others.",Movie,1
101,"I kept checking the time, hoping it would end earlier than it did. Timing felt off in places, like beats landing a second too late. The most interesting part was wondering how it went this wrong. If this had been shorter, it still would have felt long. It quietly shifted my mood for the rest of the day.",TV Show,1
102,"You can tell people tried, it just did not land properly. It had occasional flashes of something brilliant hiding underneath. With a serious overhaul, it might actually be good someday. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Theatre Production,2
103,I tried to keep an open mind going into it. Some details worked nicely while others felt completely forgettable. It worked well enough for a casual experience. It quietly shifted my mood for the rest of the day.,Product,3
104,"There was just enough charm to keep me from zoning out. Little bits of personality showed up when it stopped trying to impress. It stayed safely in the middle, rarely pushing for anything daring. It worked well enough for a casual experience. Once it was over, I needed a minute just to process how I felt.",TV Show,3
105,"I went in curious and a little skeptical. There were a few decent moments buried under a lot of noise. Small details in the background ended up being more interesting than the main moments. In the end, it left a clearer impression than I expected.",Restaurant,2
106,"Most of the choices felt thoughtful and well considered. It stayed safely in the middle, rarely pushing for anything daring. Pacing was uneven, drifting between engaging and tedious. Even with its flaws, it gave me something to think about later.",Product,4
107,"Someone recommended this to me, and I finally tried it. I would happily come back to this again and again without getting bored. Timing felt off in places, like beats landing a second too late. In the end, it left a clearer impression than I expected.",Theatre Production,5
108,"I did not read any reviews beforehand, which might have helped. I genuinely enjoyed it more than I expected to. It had occasional flashes of something brilliant hiding underneath. It felt crafted by people who actually cared about the experience. It will probably stick in my memory for a while.",Movie,4
109,"I did not read any reviews beforehand, which might have helped. I loved it so much that I kept thinking about it afterwards. It had occasional flashes of something brilliant hiding underneath. Once it was over, I needed a minute just to process how I felt.",Product,5
110,"I did not read any reviews beforehand, which might have helped. I would comfortably recommend it to a friend without hesitation. It struck a nice balance between comfort and surprise. It will probably stick in my memory for a while.",Product,4
111,"I tried to keep an open mind going into it. Solidly average, the kind of thing you forget about in a week. There were a few surprises that caught my attention. I would not go out of my way to recommend it, but I would not warn people away either. I am still not sure whether it was brave or slightly unhinged.",TV Show,3
112,I stumbled into this on a random day. Most of the choices felt thoughtful and well considered. It struck a nice balance between comfort and surprise. It quietly shifted my mood for the rest of the day.,Product,4
113,"I left mildly underwhelmed and not eager to repeat the experience. It had occasional flashes of something brilliant hiding underneath. You can sense a clear vision, even if it is not fully realized. You can see the shell of something better hiding in there. I am still not sure whether it was brave or slightly unhinged.",Product,2
114,"At first, I did not expect much from this. Every small detail felt connected to something clever and satisfying. It is the kind of thing I immediately wanted to share with people I like. I am genuinely impressed by how well all the pieces fit together. It quietly shifted my mood for the rest of the day.",Product,5
115,"I tried to keep an open mind going into it. It landed emotionally, visually, and in all the little in-between moments. I caught myself replaying specific moments in my head afterwards. I have a feeling it will spark oddly intense arguments among friends.",TV Show,5
116,"At first, I did not expect much from this. It had an overall polish that is hard to fake. You can sense a clear vision, even if it is not fully realized. If this is the standard, I would happily stick around for more. I have a feeling it will spark oddly intense arguments among friends.",Theatre Production,4
117,"The idea was interesting, but the execution felt half-finished. You can sense a clear vision, even if it is not fully realized. You can see the shell of something better hiding in there. I have a feeling it will spark oddly intense arguments among friends.",TV Show,2
118,"I had heard mixed things before trying it myself. Most of the choices felt thoughtful and well considered. It flirted with being memorable, without quite committing. It struck a nice balance between comfort and surprise. It will probably stick in my memory for a while.",Movie,4
119,"I did not read any reviews beforehand, which might have helped. You can tell people tried, it just did not land properly. You can see the shell of something better hiding in there. In the end, it left a clearer impression than I expected.",Theatre Production,2
120,"My expectations were strangely specific, and not all of them were met. The idea was interesting, but the execution felt half-finished. It flirted with being memorable, without quite committing. In the end, it left a clearer impression than I expected.",Movie,2
121,"Every small detail felt connected to something clever and satisfying. Timing felt off in places, like beats landing a second too late. Pacing was uneven, drifting between engaging and tedious. It will probably stick in my memory for a while.",Restaurant,5
122,"I did not read any reviews beforehand, which might have helped. It landed emotionally, visually, and in all the little in-between moments. It is the kind of thing I immediately wanted to share with people I like. There was an ease and confidence to the whole experience. Parts of it will probably age better than others.",Restaurant,5
123,"I stumbled into this on a random day. I loved it so much that I kept thinking about it afterwards. I am genuinely impressed by how well all the pieces fit together. It is the kind of thing I immediately wanted to share with people I like. Even with its flaws, it gave me something to think about later.",TV Show,5
124,"My expectations were strangely specific, and not all of them were met. It had an overall polish that is hard to fake. Small details in the background ended up being more interesting than the main moments. It will probably stick in my memory for a while.",Theatre Production,4
125,"I did not read any reviews beforehand, which might have helped. There were a few decent moments buried under a lot of noise. With a serious overhaul, it might actually be good someday. I am still not sure whether it was brave or slightly unhinged.",Theatre Production,2
126,It exceeded my expectations and left me grinning like an idiot. It had occasional flashes of something brilliant hiding underneath. It is the kind of thing I immediately wanted to share with people I like. It quietly shifted my mood for the rest of the day.,Restaurant,5
127,"I picked this mostly on a whim, no planning at all. Most of the choices felt thoughtful and well considered. You can sense a clear vision, even if it is not fully realized. I have a feeling it will spark oddly intense arguments among friends.",Theatre Production,4
128,"I came to it tired after a long day, which probably colored my mood. Solidly average, the kind of thing you forget about in a week. It flirted with being memorable, without quite committing. If it happens to cross your path, it is worth a try once. It made me reconsider what I usually look for in this kind of thing.",Restaurant,3
129,"There were a few decent moments buried under a lot of noise. It had occasional flashes of something brilliant hiding underneath. It flirted with being memorable, without quite committing. It quietly shifted my mood for the rest of the day.",Movie,2
130,"I stumbled into this on a random day. Some details worked nicely while others felt completely forgettable. It worked well enough for a casual experience. Even with its flaws, it gave me something to think about later.",TV Show,3
131,"It delivered a steady run of satisfying moments from start to finish. Some choices felt bold, others felt like default settings. Timing felt off in places, like beats landing a second too late. In the end, it left a clearer impression than I expected.",TV Show,4
132,"Every small detail felt connected to something clever and satisfying. Small details in the background ended up being more interesting than the main moments. It flirted with being memorable, without quite committing. There was an ease and confidence to the whole experience. I am still not sure whether it was brave or slightly unhinged.",Movie,5
133,"I genuinely enjoyed it more than I expected to. Little bits of personality showed up when it stopped trying to impress. I would gladly revisit it just to catch things I missed the first time. Once it was over, I needed a minute just to process how I felt.",TV Show,4
134,"I had heard mixed things before trying it myself. It delivered a steady run of satisfying moments from start to finish. It felt crafted by people who actually cared about the experience. In the end, it left a clearer impression than I expected.",Restaurant,4
135,"I did not read any reviews beforehand, which might have helped. I genuinely enjoyed it more than I expected to. There were a few surprises that caught my attention. It felt crafted by people who actually cared about the experience. In the end, it left a clearer impression than I expected.",TV Show,4
136,"I regretted sitting through the whole thing. Small details in the background ended up being more interesting than the main moments. Timing felt off in places, like beats landing a second too late. Even with its flaws, it gave me something to think about later.",Product,1
137,"At first, I did not expect much from this. There were a few decent moments buried under a lot of noise. It flirted with being memorable, without quite committing. I am still not sure whether it was brave or slightly unhinged.",TV Show,2
138,"I did not read any reviews beforehand, which might have helped. I left mildly underwhelmed and not eager to repeat the experience. It stayed safely in the middle, rarely pushing for anything daring. It felt like a first draft that accidentally got released. It will probably stick in my memory for a while.",Restaurant,2
139,"I had heard mixed things before trying it myself. I regretted sitting through the whole thing. It flirted with being memorable, without quite committing. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Product,1
140,"I stumbled into this on a random day. The idea was interesting, but the execution felt half-finished. You can sense a clear vision, even if it is not fully realized. You can see the shell of something better hiding in there. Even with its flaws, it gave me something to think about later.",Restaurant,2
141,"I picked this mostly on a whim, no planning at all. Some parts sort of worked, but the whole thing never came together. With a serious overhaul, it might actually be good someday. It quietly shifted my mood for the rest of the day.",Movie,2
142,"I did not hate it, but I also would not rush back to it. Pacing was uneven, drifting between engaging and tedious. It is decent background material when you do not want to think too hard. It made me reconsider what I usually look for in this kind of thing.",Restaurant,3
143,"I left mildly underwhelmed and not eager to repeat the experience. It stayed safely in the middle, rarely pushing for anything daring. Some choices felt bold, others felt like default settings. I have a feeling it will spark oddly intense arguments among friends.",Product,2
144,"I regretted sitting through the whole thing. It flirted with being memorable, without quite committing. Little bits of personality showed up when it stopped trying to impress. It made me reconsider what I usually look for in this kind of thing.",Movie,1
145,"It landed emotionally, visually, and in all the little in-between moments. Small details in the background ended up being more interesting than the main moments. It stayed safely in the middle, rarely pushing for anything daring. It is the kind of thing I immediately wanted to share with people I like. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Movie,5
146,"I did not read any reviews beforehand, which might have helped. It was fine overall, nothing too special and nothing truly awful. I would not go out of my way to recommend it, but I would not warn people away either. It made me reconsider what I usually look for in this kind of thing.",Restaurant,3
147,"There was just enough charm to keep me from zoning out. It had occasional flashes of something brilliant hiding underneath. It flirted with being memorable, without quite committing. Once it was over, I needed a minute just to process how I felt.",Movie,3
148,"I would happily come back to this again and again without getting bored. Little bits of personality showed up when it stopped trying to impress. Tiny details kept revealing themselves the more I thought about it. I am genuinely impressed by how well all the pieces fit together. Even with its flaws, it gave me something to think about later.",Restaurant,5
149,"I left mildly underwhelmed and not eager to repeat the experience. It had occasional flashes of something brilliant hiding underneath. It flirted with being memorable, without quite committing. It quietly shifted my mood for the rest of the day.",TV Show,2
150,"It had an overall polish that is hard to fake. It had occasional flashes of something brilliant hiding underneath. Little bits of personality showed up when it stopped trying to impress. Even with its flaws, it gave me something to think about later.",Product,4
151,"I would happily come back to this again and again without getting bored. Pacing was uneven, drifting between engaging and tedious. Small details in the background ended up being more interesting than the main moments. It is the kind of thing I immediately wanted to share with people I like. I have a feeling it will spark oddly intense arguments among friends.",Restaurant,5
152,"There were a few decent moments buried under a lot of noise. You can sense a clear vision, even if it is not fully realized. Timing felt off in places, like beats landing a second too late. With a serious overhaul, it might actually be good someday. It will probably stick in my memory for a while.",Product,2
153,"I had heard mixed things before trying it myself. It exceeded my expectations and left me grinning like an idiot. Timing felt off in places, like beats landing a second too late. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Restaurant,5
